Михаил Мамчич,"Глупый ищет, как преодолеть одиночество, мудрый — находит, как насладиться им. "
Михаил Мамчич,"Глупый ищет, как преодолеть одиночество, мудрый — находит, как насладиться им. "
Лао-Цзы,Будьте внимательны к своим мыслям: они — начало поступков.
Лао-Цзы,Будьте внимательны к своим мыслям: они — начало поступков.
Эрих Мария Ремарк,"Нельзя принимать ничего близко к сердцу, ведь то, что примешь, хочешь удержать. А удержать нельзя ничего. "
